Date,Close,Close_Past_1,Close_Past_2,Close_Past_3,Close_Past_4,Close_Past_5,Close_Past_6,Close_Past_7,Close_Past_8,Close_Past_9,Close_Past_10,Close_Past_11,Close_Past_12,Close_Past_13,Close_Past_14,Close_Past_15,Close_Past_16,Close_Past_17,Close_Past_18,Close_Past_19,Close_Past_20,Close_Past_21,Close_Past_22,Close_Past_23,Close_Past_24,Close_Past_25,Close_Past_26,Close_Past_27,Close_Past_28,Close_Past_29,Close_Past_30,Open,Open_Past_1,Open_Past_2,Open_Past_3,Open_Past_4,Open_Past_5,Open_Past_6,Open_Past_7,Open_Past_8,Open_Past_9,Open_Past_10,Open_Past_11,Open_Past_12,Open_Past_13,Open_Past_14,Open_Past_15,Open_Past_16,Open_Past_17,Open_Past_18,Open_Past_19,Open_Past_20,Open_Past_21,Open_Past_22,Open_Past_23,Open_Past_24,Open_Past_25,Open_Past_26,Open_Past_27,Open_Past_28,Open_Past_29,Open_Past_30,MonthTrend,negative,neutral,positive
2020-06-09,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9377.013671875,9328.197265625,9733.7216796875,9269.9873046875,8804.4775390625,8601.7958984375,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,9333.240234375,9734.291015625,9271.3291015625,8805.3876953125,8610.3857421875,8755.53515625,UP,0.02322351241735652,0.9148286015889773,0.06194788599366632
2020-06-10,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9377.013671875,9328.197265625,9733.7216796875,9269.9873046875,8804.4775390625,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,9333.240234375,9734.291015625,9271.3291015625,8805.3876953125,8610.3857421875,UP,0.027997200279972,0.8426157384261574,0.1293870612938706
2020-06-11,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9377.013671875,9328.197265625,9733.7216796875,9269.9873046875,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,9333.240234375,9734.291015625,9271.3291015625,8805.3876953125,DOWN,0.08649567521623919,0.8458077096145193,0.06769661516924153
2020-06-12,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9377.013671875,9328.197265625,9733.7216796875,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,9333.240234375,9734.291015625,9271.3291015625,UP,0.07206186254249718,0.834411039264049,0.0935270981934538
2020-06-13,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9377.013671875,9328.197265625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,9333.240234375,9734.291015625,DOWN,0.07665252922313025,0.8490741698562119,0.07427330092065793
2020-06-14,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9377.013671875,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,9333.240234375,DOWN,0.047199999999999985,0.88,0.07279999999999998
2020-06-15,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9670.7392578125,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,9374.9296875,UP,0.057233333333333344,0.8865000000000001,0.05626666666666668
2020-06-16,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9726.5751953125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,9675.6953125,UP,0.02733515567704514,0.9143609573971598,0.058303886925795065
2020-06-17,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9729.0380859375,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,9727.0634765625,DOWN,0.04669999999999999,0.8784,0.07489999999999998
2020-06-18,9288.0185546875,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9522.9814453125,9410.2939453125,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,9725.3291015625,DOWN,0.026156518077995895,0.8846376506499658,0.0892058312720383
2020-06-19,9332.3408203125,9288.0185546875,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9081.76171875,9290.9599609375,9410.2939453125,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,9522.740234375,DOWN,0.030066666666666665,0.8856666666666666,0.08426666666666666
2020-06-20,9303.6298828125,9332.3408203125,9288.0185546875,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9182.5771484375,9330.9267578125,9290.9599609375,9410.2939453125,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,9080.3349609375,UP,0.035269017934528954,0.8548903260217348,0.10984065604373622
2020-06-21,9648.7177734375,9303.6298828125,9332.3408203125,9288.0185546875,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9209.287109375,9300.9150390625,9330.9267578125,9290.9599609375,9410.2939453125,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,9185.0625,DOWN,0.03015,0.91275,0.057100000000000005
2020-06-22,9629.658203125,9648.7177734375,9303.6298828125,9332.3408203125,9288.0185546875,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,8790.3681640625,9644.076171875,9300.9150390625,9330.9267578125,9290.9599609375,9410.2939453125,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,9212.283203125,UP,0.029998000133324442,0.8487434171055263,0.12125858276114924
2020-06-23,9313.6103515625,9629.658203125,9648.7177734375,9303.6298828125,9332.3408203125,9288.0185546875,9411.8408203125,9480.2548828125,9538.0244140625,9450.7021484375,9386.7880859375,9475.27734375,9480.84375,9321.78125,9870.0947265625,9795.7001953125,9771.4892578125,9758.8525390625,9653.6796875,9665.533203125,9800.63671875,9656.7177734375,9529.8037109375,10167.2685546875,9461.05859375,9700.4140625,9439.1240234375,9525.7509765625,9181.017578125,8835.052734375,8906.9345703125,9632.1494140625,9644.076171875,9300.9150390625,9330.9267578125,9290.9599609375,9410.2939453125,9481.5673828125,9533.7841796875,9454.2666015625,9386.03515625,9477.5537109375,9480.7353515625,9320.6904296875,9870.078125,9794.119140625,9774.3603515625,9760.0634765625,9653.0029296875,9664.904296875,9800.2158203125,9655.8544921875,9533.7607421875,10162.9736328125,9463.60546875,9700.10546875,9438.9140625,9528.35546875,9184.9453125,8837.380859375,8909.5859375,8786.107421875,DOWN,0.034667822260742026,0.8971632387746259,0.06816893896463215
